nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
6300,36,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
6400,37,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
6500,37,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
6600,38,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
6700,39,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
6800,39,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
6900,40,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
7000,40,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
7100,41,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7200,41,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7300,42,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7400,43,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7500,43,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7600,44,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7700,44,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7800,45,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
7900,46,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8000,46,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8100,47,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8200,47,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
