nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
3300,113,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3400,117,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3500,120,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3600,123,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3700,127,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3800,130,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3900,134,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
4000,137,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
4100,141,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
4200,144,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
