nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
8400,396,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
8500,400,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
8600,406,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
8700,410,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
8800,414,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
8900,419,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9000,424,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9100,428,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9200,433,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9300,438,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9400,443,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9500,447,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9600,451,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9700,455,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9800,460,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
9900,464,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
10000,469,0.88,"[<ptreeopt.tree.PTree object at 0x1555283926d0>
 <ptreeopt.tree.PTree object at 0x155528392700>
 <ptreeopt.tree.PTree object at 0x155528392b80>]",7,0,30,3,3
100,3,0.93,"[<ptreeopt.tree.PTree object at 0x15552829a5e0>
 <ptreeopt.tree.PTree object at 0x15552829a760>
 <ptreeopt.tree.PTree object at 0x1555286d7490>]",7,1,30,3,3
200,8,0.93,"[<ptreeopt.tree.PTree object at 0x15552829a5e0>
 <ptreeopt.tree.PTree object at 0x15552829a760>
 <ptreeopt.tree.PTree object at 0x1555286d7490>]",7,1,30,3,3
300,13,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
400,19,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
500,23,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
600,28,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
700,33,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
800,37,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
900,42,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
